#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1317,Dedniel Nunez,673380,673380,23055,11195,*050vo*,NYM,RP,RP,Nunez,Dedniel,Núñez,Dedniel
1318,Ha-Seong Kim,673490,673490,27506,11147,*05ajg*,SD,2B/SS/ 3B,2B/SS/ 3B,Kim,Ha-Seong,Kim,Ha-Seong
1319,Yuki Matsui,673513,673513,33826,11928,*0689r*,SD,RP,RP,Matsui,Yuki,Matsui,Yuki
1320,Victor Mesa,673516,673516,sa3008602,10840,,MIA,OF,OF,Mesa,Victor,,
1321,Kodai Senga,673540,673540,31838,11182,*04a2t*,NYM,SP,SP,Senga,Kodai,Senga,Kodai
1322,Seiya Suzuki,673548,673548,30116,11305,*04b02*,CHC,OF,OF,Suzuki,Seiya,Suzuki,Seiya
1323,Vaun Brown,673901,673901,sa3017282,11752,*05y6h*,SF,OF,OF,Brown,Vaun,Brown,Vaun
1324,Jake Walsh,673904,673904,20227,11359,*04ep2*,ATL,RP,RP,Walsh,Jake,Walsh,Jake
1325,Jordan Leasure,673929,673929,29950,12028,*0614c*,CHW,RP,RP,Leasure,Jordan,Leasure,Jordan
1326,Josh Jung,673962,673962,26299,10980,*04y44*,TEX,3B,3B,Jung,Josh,Jung,Josh
1327,Davis Wendzel,673995,673995,26469,12075,*0511s*,CIN,3B,3B,Wendzel,Davis,Wendzel,Davis
1328,Cody Bradford,674003,674003,27597,11792,*0514o*,TEX,SP,SP,Bradford,Cody,Bradford,Cody
1329,Tommy Henry,674072,674072,26285,11030,*0512a*,ARI,SP,SP,Henry,Tommy,Henry,Tommy
1330,Eduardo Salazar,674285,674285,23135,11795,*05rlb*,WSH,RP,RP,Salazar,Eduardo,Salazar,Eduardo
1331,Osvaldo Bido,674370,674370,23150,11808,*06ala*,OAK,SP,SP,Bido,Osvaldo,Bido,Osvaldo
1332,Jacob Hurtubise,674441,674441,27599,11917,*05r9h*,CIN,OF,OF,Hurtubise,Jacob,Hurtubise,Jacob
1333,Steven Cruz,674444,674444,23165,11852,*05tjx*,KC,RP,RP,Cruz,Steven,Cruz,Steven
1334,Michael Plassmeyer,674681,674681,23191,11545,*04pqg*,PIT,RP,RP,Plassmeyer,Michael,Plassmeyer,Michael
1335,Sean Guenther,674944,674944,20045,11251,*04ei8*,DET,RP,RP,Guenther,Sean,Guenther,Sean
1336,Xzavion Curry,675540,675540,25595,11537,*0515h*,MIA,RP,RP,Curry,Xzavion,Curry,Xzavion
1337,Michael Grove,675627,675627,23221,11055,*04pmk*,LAD,RP,RP,Grove,Michael,Grove,Michael
1338,Austin Beck,675648,675648,,10139,*04c8r*,LAD,OF,OF,Beck,Austin,Beck,Austin
1339,Michael Mercado,675650,675650,23223,11962,*04eeq*,PHI,SP,SP,Mercado,Michael,Mercado,Michael
1340,Kevin Smith,675656,675656,20242,10265,*04eg3*,NYY,SS,SS/3B,Smith,Kevin,Smith,Kevin
1341,Spencer Strider,675911,675911,27498,11300,*05mre*,ATL,SP,SP,Strider,Spencer,Strider,Spencer
1342,James Karinchak,675916,675916,20151,10700,*04ejp*,CLE,RP,RP,Karinchak,James,Karinchak,James
1343,Spencer Howard,675921,675921,23252,10337,*04eeu*,SF,SP,SP,Howard,Spencer,Howard,Spencer
1344,Alika Williams,675961,675961,27604,11833,*05gs3*,PIT,2B/SS,2B/SS,Williams,Alika,Williams,Alika
1345,Drew Strotman,675977,675977,sa3004584,11160,,HOU,RP,RP,Strotman,Drew,Strotman,Drew
1346,Cody Bolton,675989,675989,23265,10908,*04ehs*,SEA,RP,RP,Bolton,Cody,Bolton,Cody
1347,Griff McGarry,676046,676046,sa3017130,11620,*05uni*,PHI,SP,SP,McGarry,Griff,McGarry,Griff
1348,Packy Naughton,676050,676050,23292,11256,*04ejl*,STL,RP,RP,Naughton,Packy,Naughton,Packy
1349,Codi Heuer,676051,676051,23293,10901,*04prq*,TEX,RP,RP,Heuer,Codi,Heuer,Codi
1350,Jordan Westburg,676059,676059,27815,11610,*05gsc*,BAL,2B/3B,2B/3B,Westburg,Jordan,Westburg,Jordan
1351,Jacob Amaya,676070,676070,23296,10398,*04elh*,HOU,SS,SS,Amaya,Jacob,Amaya,Jacob
1352,Janson Junk,676083,676083,23301,11280,*04etg*,HOU,SP,SP,Junk,Janson,Junk,Janson
1353,Collin Snider,676092,676092,23307,11389,*05y18*,SEA,RP,RP,Snider,Collin,Snider,Collin
1354,Emerson Hancock,676106,676106,27470,10873,*0510l*,SEA,SP,SP,Hancock,Emerson,Hancock,Emerson
1355,Zach DeLoach,676113,676113,27471,10870,*05gs6*,CHW,OF,OF,DeLoach,Zach,DeLoach,Zach
1356,Ryan Noda,676116,676116,23312,10322,*04enw*,OAK,1B,1B,Noda,Ryan,Noda,Ryan
1357,Jose Butto,676130,676130,23313,11400,*05oz7*,NYM,SP,SP,Butto,Jose,Buttó,José
1358,Jackson Tetreault,676194,676194,20565,11496,,CHC,SP,SP,Tetreault,Jackson,Tetreault,Jackson
1359,Freddy Tarnok,676206,676206,23324,11335,*04efr*,PHI,SP,SP,Tarnok,Freddy,Tarnok,Freddy
1360,Seth Elledge,676220,676220,19766,10888,,OAK,RP,RP,Elledge,Seth,Elledge,Seth
1361,Ryan Walker,676254,676254,20423,11794,*066n3*,SF,RP,RP,Walker,Ryan,Walker,Ryan
1362,Cory Abbott,676265,676265,20277,10790,,CHW,SP,SP,Abbott,Cory,Abbott,Cory
1363,Bobby Miller,676272,676272,27483,11073,*05gwz*,LAD,SP,SP,Miller,Bobby,Miller,Bobby
1364,Joey Cantillo,676282,676282,23335,10401,*04eos*,CLE,SP,SP,Cantillo,Joey,Cantillo,Joey
1365,Jonny DeLuca,676356,676356,26365,11681,*04y94*,TB,OF,OF,DeLuca,Jonny,DeLuca,Jonny
1366,Nelson Velazquez,676369,676369,23359,11323,*04eh9*,KC,OF,OF,Velazquez,Nelson,Velázquez,Nelson
1367,Ernie Clement,676391,676391,20352,10925,*04alp*,TOR,SS/3B,SS/3B,Clement,Ernie,Clement,Ernie
1368,Robert Garcia,676395,676395,23363,11823,*04enz*,WSH,RP,RP,Garcia,Robert,Garcia,Robert
1369,Hunter Feduccia,676439,676439,23372,11779,*04pwl*,LAD,C,C,Feduccia,Hunter,Feduccia,Hunter
1370,Tanner Bibee,676440,676440,30134,11595,*05y23*,CLE,SP,SP,Bibee,Tanner,Bibee,Tanner
1371,Alec Burleson,676475,676475,27615,11421,*05jr0*,STL,1B/OF,1B/OF,Burleson,Alec,Burleson,Alec
